compound_id,CID,SMILES,is_solvent,rdkit_isomers,pubchem_smiles,pubchem_ik,match
0,-1,,TRUE (Paraffin Oil),[],,,False
1,-2,,TRUE (Mineral Oil),[],,,False
2,10313079,CN(C)C.Cl,FALSE,['CN(C)C.Cl'],CN(C)C.Cl,SZYJELPVAFJOGJ-UHFFFAOYSA-N,True
3,10400,C1CCCC(=O)CC1,FALSE,['O=C1CCCCCC1'],C1CCCC(=O)CC1,CGZZMOTZOONQIA-UHFFFAOYSA-N,True
4,10430,CC(C)CC(=O)O,FALSE,['CC(C)CC(=O)O'],CC(C)CC(=O)O,GWYFCOCPABKNJV-UHFFFAOYSA-N,True
5,1049,C1=CC=NC=C1,FALSE,['c1ccncc1'],C1=CC=NC=C1,JUJWROOIHBZHMG-UHFFFAOYSA-N,True
6,10882,CCCCC(=O)OCC,FALSE,['CCCCC(=O)OCC'],CCCCC(=O)OCC,ICMAFTSLXCXHRK-UHFFFAOYSA-N,True
7,10886,CCCCCC(=O)OCCCCC,FALSE,['CCCCCOC(=O)CCCCC'],CCCCCC(=O)OCCCCC,WRFZKAGPPQGDDQ-UHFFFAOYSA-N,True
8,10890,CCCCCOC(=O)CCC,FALSE,['CCCCCOC(=O)CCC'],CCCCCOC(=O)CCC,CFNJLPHOBMVMNS-UHFFFAOYSA-N,True
9,11002,CCCCSCCCC,FALSE,['CCCCSCCCC'],CCCCSCCCC,HTIRHQRTDBPHNZ-UHFFFAOYSA-N,True
10,11176,CCCOC(=O)CC(C)C,FALSE,['CCCOC(=O)CC(C)C'],CCCOC(=O)CC(C)C,LSJMDWFAADPNAX-UHFFFAOYSA-N,True
11,11251,CC(C)C(=O)C,FALSE,['CC(=O)C(C)C'],CC(C)C(=O)C,SYBYTAAJFKOIEJ-UHFFFAOYSA-N,True
12,1140,CC1=CC=CC=C1,FALSE,['Cc1ccccc1'],CC1=CC=CC=C1,YXFVVABEGXRONW-UHFFFAOYSA-N,True
13,114533,CC(C1CCCCC1)OC(=O)C,FALSE,"['CC(=O)OC(C)C1CCCCC1', 'CC(=O)OC(C)C1CCCCC1']",,,False
14,11552,CC(C)CC=O,FALSE,['CC(C)CC=O'],,,False
15,11702,CCC(CC)(CC)O,FALSE,['CCC(O)(CC)CC'],,,False
16,11747,CCC(=O)C(=O)C,FALSE,['CCC(=O)C(C)=O'],,,False
17,11781,CN1C=CC2=CC=CC=C21,FALSE,['Cn1ccc2ccccc21'],,,False
18,12180,CCCC(=O)OC,FALSE,['CCCC(=O)OC'],CCCC(=O)OC,UUIQMZJEGPQKFD-UHFFFAOYSA-N,True
19,12206,CCCCC(=O)OC,FALSE,['CCCCC(=O)OC'],CCCCC(=O)OC,HNBDRPTVWVGKBR-UHFFFAOYSA-N,True
20,12297,CCCCC(C)O,FALSE,"['CCCCC(C)O', 'CCCCC(C)O']",CCCCC(C)O,QNVRIHYSUZMSGM-UHFFFAOYSA-N,True
21,12367,CCCCCCCC(C)O,FALSE,"['CCCCCCCC(C)O', 'CCCCCCCC(C)O']",CCCCCCCC(C)O,NGDNVOAEIVQRFH-UHFFFAOYSA-N,True
22,12748,CC1=CSC=N1,FALSE,['Cc1cscn1'],CC1=CSC=N1,QMHIMXFNBOYPND-UHFFFAOYSA-N,True
23,12810,CCCCCC1CCCC(=O)O1,FALSE,"['CCCCCC1CCCC(=O)O1', 'CCCCCC1CCCC(=O)O1']",CCCCCC1CCCC(=O)O1,GHBSPIPJMLAMEP-UHFFFAOYSA-N,True
24,12813,CCCCCCC1CCC(=O)O1,FALSE,"['CCCCCCC1CCC(=O)O1', 'CCCCCCC1CCC(=O)O1']",CCCCCCC1CCC(=O)O1,IFYYFLINQYPWGJ-UHFFFAOYSA-N,True
25,14057,CC(C)(C)CC(=O)O,FALSE,['CC(C)(C)CC(=O)O'],CC(C)(C)CC(=O)O,MLMQPDHYNJCQAO-UHFFFAOYSA-N,True
