CID,SMILES
0,CC(O)CN
1,CCC(=O)C(=O)O
2,O=C(O)CCc1ccccc1
3,OCc1ccc(O)cc1
4,O=Cc1ccc(O)cc1
5,O=C(O)c1ccc(O)cc1
6,CC(=O)O
7,CC=O
8,CC(=O)C(C)O
9,CC(C)=O
10,O=C(O)CCCCC(=O)O
11,O=Cc1ccccc1
12,O=C(O)c1ccccc1
13,OCc1ccccc1
14,CCCC=O
15,CCCCO
16,CCCC(=O)O
17,O=CO
18,O=C(O)CC(O)(CC(=O)O)C(=O)O
19,CC(C)c1ccc(CO)cc1
20,CC(C)c1ccc(C=O)cc1
21,C=Cc1ccc(O)c(OC)c1
22,Cc1ccccc1O
23,Cc1cccc(O)c1
24,CCCCCCCC(=O)O
25,CCCCCCCC=O
26,COc1ccccc1O
27,O=C(O)CC(O)C(=O)O
28,CCC=O
29,CSCCC(=O)O
30,CC(O)C(=O)O
31,CC(=O)C(C)=O
32,O=C1CCc2ccccc2O1
33,O=C(CO)CO
34,CCO
35,O=C(O)CO
36,c1ccc2[nH]ccc2c1
37,CC(C)CC(N)C(=O)O
38,O=C(O)C(O)C(O)C(=O)O
39,CSCCC(N)C(=O)O
40,CS
41,CC(=O)C=O
42,c1ccc2ccccc2c1
43,CCCCCCCCO
44,O=C(O)C(=O)CO
45,CCCCCCCCCCCCCCCC(=O)O
46,NC(Cc1ccccc1)C(=O)O
47,Oc1ccccc1
48,O=C(O)C(=O)Cc1ccccc1
49,O=CCc1ccccc1
50,O=C(O)Cc1ccccc1
51,NCCc1ccccc1
52,CC(O)CO
53,CCCO
54,CCC(=O)O
55,c1ccncc1
56,CC(=O)C(=O)O
57,CSC
58,O=C(O)CCC(=O)O
59,C1CCSC1
60,Cc1ncsc1CCO
61,C[N+](C)(C)[O-]
62,CN(C)C
63,CC(C)C(N)C(=O)O
64,COc1cc(C=O)ccc1O
65,CC1CCC(C(C)C)C(O)C1
66,O=C(O)c1ccc(O)cc1O
67,COc1cc(C(C)=O)ccc1O
68,O=C(OCc1ccccc1)c1ccccc1
69,S=C=NCc1ccccc1
70,Cn1c(=O)c2c(ncn2C)n(C)c1=O
71,CC12CCC(CC1=O)C2(C)C
72,CCCCCCCCCCCCCCCCO
73,CC12CCC(CC1)C(C)(C)O2
74,Cc1ccc(O)cc1
75,CCCCCCCCCC(=O)O
76,CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1
77,O=C(c1ccccc1)c1ccccc1
78,C=CCc1ccc(O)c(OC)c1
79,O=CCCCC=O
80,CC(C)c1cccc(O)c(=O)c1
81,CC(C)O
82,CCCCCCCCCCCC(=O)O
83,COC(=O)c1ccccc1O
84,C=CCc1cc(OC)c2c(c1)OCO2
85,Oc1cccc(O)c1
86,O=C1NS(=O)(=O)c2ccccc21
87,C=CCc1ccc2c(c1)OCO2
88,CCCCCCCCCCCCCCCCCC(=O)O
89,CC(=O)OCC(COC(C)=O)OC(C)=O
90,NCCc1ccc(O)cc1
91,C=CCCCCCCCCC(=O)O
92,NC(=O)CCC(N)C(=O)O
93,C=CCN=C=S
94,O=C(CO)C(O)C(O)C(O)CO
95,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
96,OCCc1ccccc1
97,CCCCCC=O
98,CCCCCO
99,CCC(C)C(N)C(=O)O
100,CCN
101,CCS
102,CC(C)N
103,CC(C)S
104,CC(C)(C)O
105,CC(C)(C)S
106,CCC(C)(C)O
107,CC(C)(O)C(C)(C)O
108,CC(=O)OC1CC2CCC1(C)C2(C)C
109,CC(=O)OC1(C)CCC23CC1C(C)(C)C2CCC3C
