stimulus,CID,dilution,cmp_ids,dilution_info
A126,[126],[0.001],[0],"[[0.001], [0]]"
B126,[126],[0.1],[0],"[[0.1], [0]]"
A176,[176],[1e-07],[1],"[[1e-07], [0]]"
B176,[176],[1e-05],[1],"[[1e-05], [0]]"
A177,[177],[1e-05],[2],"[[1e-05], [0]]"
B177,[177],[0.001],[2],"[[0.001], [0]]"
A180,[180],[0.001],[3],"[[0.001], [0]]"
B180,[180],[0.1],[3],"[[0.1], [0]]"
A196,[196],[0.001],[4],"[[0.001], [0]]"
B196,[196],[0.1],[4],"[[0.1], [0]]"
A239,[239],[0.001],[5],"[[0.001], [0]]"
B239,[239],[0.1],[5],"[[0.1], [0]]"
A240,[240],[1e-05],[6],"[[1e-05], [0]]"
B240,[240],[0.001],[6],"[[0.001], [0]]"
A241,[241],[1e-05],[7],"[[1e-05], [0]]"
B241,[241],[0.001],[7],"[[0.001], [0]]"
A243,[243],[1e-05],[8],"[[1e-05], [0]]"
B243,[243],[0.001],[8],"[[0.001], [0]]"
A244,[244],[0.001],[9],"[[0.001], [0]]"
B244,[244],[0.1],[9],"[[0.1], [0]]"
A261,[261],[1e-05],[10],"[[1e-05], [0]]"
B261,[261],[0.001],[10],"[[0.001], [0]]"
A262,[262],[1e-05],[11],"[[1e-05], [0]]"
B262,[262],[0.001],[11],"[[0.001], [0]]"
A263,[263],[1e-07],[12],"[[1e-07], [0]]"
B263,[263],[1e-05],[12],"[[1e-05], [0]]"
A264,[264],[1e-05],[13],"[[1e-05], [0]]"
B264,[264],[0.001],[13],"[[0.001], [0]]"
A311,[311],[0.001],[14],"[[0.001], [0]]"
B311,[311],[0.1],[14],"[[0.1], [0]]"
A323,[323],[0.001],[15],"[[0.001], [0]]"
B323,[323],[0.1],[15],"[[0.1], [0]]"
A325,[325],[0.001],[16],"[[0.001], [0]]"
B325,[325],[0.1],[16],"[[0.1], [0]]"
A326,[326],[1e-05],[17],"[[1e-05], [0]]"
B326,[326],[0.001],[17],"[[0.001], [0]]"
A356,[356],[0.001],[18],"[[0.001], [0]]"
B356,[356],[0.1],[18],"[[0.1], [0]]"
A379,[379],[1e-05],[19],"[[1e-05], [0]]"
B379,[379],[0.001],[19],"[[0.001], [0]]"
A454,[454],[1e-05],[20],"[[1e-05], [0]]"
B454,[454],[0.001],[20],"[[0.001], [0]]"
A460,[460],[1e-07],[21],"[[1e-07], [0]]"
B460,[460],[1e-05],[21],"[[1e-05], [0]]"
A650,[650],[1e-05],[22],"[[1e-05], [0]]"
B650,[650],[0.001],[22],"[[0.001], [0]]"
A660,[660],[1e-05],[23],"[[1e-05], [0]]"
B660,[660],[0.001],[23],"[[0.001], [0]]"
A679,[679],[0.001],[24],"[[0.001], [0]]"
B679,[679],[0.1],[24],"[[0.1], [0]]"
A702,[702],[1e-05],[25],"[[1e-05], [0]]"
B702,[702],[0.001],[25],"[[0.001], [0]]"
A750,[750],[0.001],[26],"[[0.001], [0]]"
B750,[750],[0.1],[26],"[[0.1], [0]]"
A753,[753],[0.001],[27],"[[0.001], [0]]"
B753,[753],[0.1],[27],"[[0.1], [0]]"
A875,[875],[0.001],[28],"[[0.001], [0]]"
B875,[875],[0.1],[28],"[[0.1], [0]]"
A887,[887],[0.001],[29],"[[0.001], [0]]"
B887,[887],[0.1],[29],"[[0.1], [0]]"
A957,[957],[1e-05],[30],"[[1e-05], [0]]"
B957,[957],[0.001],[30],"[[0.001], [0]]"
A994,[994],[0.001],[31],"[[0.001], [0]]"
B994,[994],[0.1],[31],"[[0.1], [0]]"
A1001,[1001],[1e-05],[32],"[[1e-05], [0]]"
B1001,[1001],[0.001],[32],"[[0.001], [0]]"
A1030,[1030],[0.001],[33],"[[0.001], [0]]"
B1030,[1030],[0.1],[33],"[[0.1], [0]]"
A1031,[1031],[1e-05],[34],"[[1e-05], [0]]"
B1031,[1031],[0.001],[34],"[[0.001], [0]]"
A1032,[1032],[1e-07],[35],"[[1e-07], [0]]"
B1032,[1032],[1e-05],[35],"[[1e-05], [0]]"
A1049,[1049],[1e-07],[36],"[[1e-07], [0]]"
B1049,[1049],[1e-05],[36],"[[1e-05], [0]]"
A1060,[1060],[1e-05],[37],"[[1e-05], [0]]"
B1060,[1060],[0.001],[37],"[[0.001], [0]]"
A1068,[1068],[1e-05],[38],"[[1e-05], [0]]"
B1068,[1068],[0.001],[38],"[[0.001], [0]]"
A1110,[1110],[0.001],[39],"[[0.001], [0]]"
B1110,[1110],[0.1],[39],"[[0.1], [0]]"
A1136,[1136],[1e-05],[40],"[[1e-05], [0]]"
B1136,[1136],[0.001],[40],"[[0.001], [0]]"
A1183,[1183],[0.001],[41],"[[0.001], [0]]"
B1183,[1183],[0.1],[41],"[[0.1], [0]]"
A2214,[2214],[0.001],[42],"[[0.001], [0]]"
B2214,[2214],[0.1],[42],"[[0.1], [0]]"
A2345,[2345],[0.001],[43],"[[0.001], [0]]"
B2345,[2345],[0.1],[43],"[[0.1], [0]]"
A2346,[2346],[1e-05],[44],"[[1e-05], [0]]"
B2346,[2346],[0.001],[44],"[[0.001], [0]]"
A2537,[2537],[1e-05],[45],"[[1e-05], [0]]"
B2537,[2537],[0.001],[45],"[[0.001], [0]]"
A2682,[2682],[0.001],[46],"[[0.001], [0]]"
B2682,[2682],[0.1],[46],"[[0.1], [0]]"
A2758,[2758],[1e-05],[47],"[[1e-05], [0]]"
B2758,[2758],[0.001],[47],"[[0.001], [0]]"
A2879,[2879],[1e-05],[48],"[[1e-05], [0]]"
B2879,[2879],[0.001],[48],"[[0.001], [0]]"
A2969,[2969],[0.001],[49],"[[0.001], [0]]"
B2969,[2969],[0.1],[49],"[[0.1], [0]]"
A3102,[3102],[0.001],[50],"[[0.001], [0]]"
B3102,[3102],[0.1],[50],"[[0.1], [0]]"
A3314,[3314],[1e-05],[51],"[[1e-05], [0]]"
B3314,[3314],[0.001],[51],"[[0.001], [0]]"
A3776,[3776],[1e-05],[52],"[[1e-05], [0]]"
B3776,[3776],[0.001],[52],"[[0.001], [0]]"
A3893,[3893],[0.001],[53],"[[0.001], [0]]"
B3893,[3893],[0.1],[53],"[[0.1], [0]]"
A4133,[4133],[1e-05],[54],"[[1e-05], [0]]"
B4133,[4133],[0.001],[54],"[[0.001], [0]]"
A5541,[5541],[0.001],[55],"[[0.001], [0]]"
B5541,[5541],[0.1],[55],"[[0.1], [0]]"
A5610,[5610],[0.001],[56],"[[0.001], [0]]"
B5610,[5610],[0.1],[56],"[[0.1], [0]]"
A5779,[5779],[0.001],[57],"[[0.001], [0]]"
B5779,[5779],[0.1],[57],"[[0.1], [0]]"
A5780,[5780],[0.001],[58],"[[0.001], [0]]"
B5780,[5780],[0.1],[58],"[[0.1], [0]]"
A5862,[5862],[0.001],[59],"[[0.001], [0]]"
B5862,[5862],[0.1],[59],"[[0.1], [0]]"
A5950,[5950],[0.001],[60],"[[0.001], [0]]"
B5950,[5950],[0.1],[60],"[[0.1], [0]]"
A5960,[5960],[0.001],[61],"[[0.001], [0]]"
B5960,[5960],[0.1],[61],"[[0.1], [0]]"
A5961,[5961],[1e-05],[62],"[[1e-05], [0]]"
B5961,[5961],[0.001],[62],"[[0.001], [0]]"
