stimulus,keller,Intensity,Pleasantness,Acid,Ammonia,Bakery,Burnt,Chemical,Cold,Decayed,Fish,Flower,Fruit,Garlic,Grass,Musky,Sour,Spices,Sweaty,Sweet,Warm,Wood,ratings,intensity_pleasantness,ratings_intensity_pleasantness
A126,1,0.3756756756756756,0.5183783783783784,0.0565714285714285,0.035,0.004,0.0123529411764705,0.1241176470588235,0.0614285714285714,0.0376470588235294,0.0,0.0567647058823529,0.0225714285714285,0.0252941176470588,0.0179411764705882,0.0511764705882352,0.0255882352941176,0.0497058823529411,0.0111764705882352,0.1586111111111111,0.0557142857142857,0.0023529411764705,"[0.0565714285714285, 0.035, 0.004, 0.0123529411764705, 0.1241176470588235, 0.0614285714285714, 0.0376470588235294, 0.0, 0.0567647058823529, 0.0225714285714285, 0.0252941176470588, 0.0179411764705882, 0.0511764705882352, 0.0255882352941176, 0.0497058823529411, 0.0111764705882352, 0.1586111111111111, 0.0557142857142857, 0.0023529411764705]","[0.3756756756756756, 0.5183783783783784]","[0.3756756756756756, 0.5183783783783784, 0.0565714285714285, 0.035, 0.004, 0.0123529411764705, 0.1241176470588235, 0.0614285714285714, 0.0376470588235294, 0.0, 0.0567647058823529, 0.0225714285714285, 0.0252941176470588, 0.0179411764705882, 0.0511764705882352, 0.0255882352941176, 0.0497058823529411, 0.0111764705882352, 0.1586111111111111, 0.0557142857142857, 0.0023529411764705]"
B126,1,0.5163461538461539,0.4921153846153846,0.026734693877551,0.0148,0.0075510204081632,0.0155102040816326,0.126,0.0134,0.0458,0.0051020408163265,0.0759183673469387,0.0375999999999999,0.0026530612244897,0.0126530612244897,0.0512,0.072,0.0248979591836734,0.0163265306122449,0.1478,0.011,0.0118367346938775,"[0.026734693877551, 0.0148, 0.0075510204081632, 0.0155102040816326, 0.126, 0.0134, 0.0458, 0.0051020408163265, 0.0759183673469387, 0.0375999999999999, 0.0026530612244897, 0.0126530612244897, 0.0512, 0.072, 0.0248979591836734, 0.0163265306122449, 0.1478, 0.011, 0.0118367346938775]","[0.5163461538461539, 0.4921153846153846]","[0.5163461538461539, 0.4921153846153846, 0.026734693877551, 0.0148, 0.0075510204081632, 0.0155102040816326, 0.126, 0.0134, 0.0458, 0.0051020408163265, 0.0759183673469387, 0.0375999999999999, 0.0026530612244897, 0.0126530612244897, 0.0512, 0.072, 0.0248979591836734, 0.0163265306122449, 0.1478, 0.011, 0.0118367346938775]"
A176,1,0.1178947368421052,0.4605263157894737,0.0316666666666666,0.05,0.0071428571428571,0.0138461538461538,0.165,0.0008333333333333,0.0484615384615384,0.0584615384615384,0.0621428571428571,0.0092307692307692,0.0438461538461538,0.0585714285714285,0.0746666666666666,0.0992857142857142,0.0533333333333333,0.0842857142857142,0.0228571428571428,0.0953333333333333,0.0628571428571428,"[0.0316666666666666, 0.05, 0.0071428571428571, 0.0138461538461538, 0.165, 0.0008333333333333, 0.0484615384615384, 0.0584615384615384, 0.0621428571428571, 0.0092307692307692, 0.0438461538461538, 0.0585714285714285, 0.0746666666666666, 0.0992857142857142, 0.0533333333333333, 0.0842857142857142, 0.0228571428571428, 0.0953333333333333, 0.0628571428571428]","[0.1178947368421052, 0.4605263157894737]","[0.1178947368421052, 0.4605263157894737, 0.0316666666666666, 0.05, 0.0071428571428571, 0.0138461538461538, 0.165, 0.0008333333333333, 0.0484615384615384, 0.0584615384615384, 0.0621428571428571, 0.0092307692307692, 0.0438461538461538, 0.0585714285714285, 0.0746666666666666, 0.0992857142857142, 0.0533333333333333, 0.0842857142857142, 0.0228571428571428, 0.0953333333333333, 0.0628571428571428]"
B176,1,0.2124137931034483,0.4779310344827586,0.0209090909090909,0.0447619047619047,0.0314285714285714,0.0427272727272727,0.0595454545454545,0.064090909090909,0.0376190476190476,0.0,0.0771428571428571,0.0152380952380952,0.0547619047619047,0.0221739130434782,0.0718181818181818,0.1954545454545454,0.0930434782608695,0.0808695652173913,0.0717391304347826,0.0523809523809523,0.0228571428571428,"[0.0209090909090909, 0.0447619047619047, 0.0314285714285714, 0.0427272727272727, 0.0595454545454545, 0.064090909090909, 0.0376190476190476, 0.0, 0.0771428571428571, 0.0152380952380952, 0.0547619047619047, 0.0221739130434782, 0.0718181818181818, 0.1954545454545454, 0.0930434782608695, 0.0808695652173913, 0.0717391304347826, 0.0523809523809523, 0.0228571428571428]","[0.2124137931034483, 0.4779310344827586]","[0.2124137931034483, 0.4779310344827586, 0.0209090909090909, 0.0447619047619047, 0.0314285714285714, 0.0427272727272727, 0.0595454545454545, 0.064090909090909, 0.0376190476190476, 0.0, 0.0771428571428571, 0.0152380952380952, 0.0547619047619047, 0.0221739130434782, 0.0718181818181818, 0.1954545454545454, 0.0930434782608695, 0.0808695652173913, 0.0717391304347826, 0.0523809523809523, 0.0228571428571428]"
A177,1,0.218125,0.5396875,0.0254166666666666,0.0041666666666666,0.06,0.0170833333333333,0.0864,0.044,0.0408333333333333,0.0217391304347826,0.0608333333333333,0.0469565217391304,0.0204347826086956,0.0165217391304347,0.0882608695652173,0.0883999999999999,0.0052,0.0160869565217391,0.1592307692307692,0.023076923076923,0.0036,"[0.0254166666666666, 0.0041666666666666, 0.06, 0.0170833333333333, 0.0864, 0.044, 0.0408333333333333, 0.0217391304347826, 0.0608333333333333, 0.0469565217391304, 0.0204347826086956, 0.0165217391304347, 0.0882608695652173, 0.0883999999999999, 0.0052, 0.0160869565217391, 0.1592307692307692, 0.023076923076923, 0.0036]","[0.218125, 0.5396875]","[0.218125, 0.5396875, 0.0254166666666666, 0.0041666666666666, 0.06, 0.0170833333333333, 0.0864, 0.044, 0.0408333333333333, 0.0217391304347826, 0.0608333333333333, 0.0469565217391304, 0.0204347826086956, 0.0165217391304347, 0.0882608695652173, 0.0883999999999999, 0.0052, 0.0160869565217391, 0.1592307692307692, 0.023076923076923, 0.0036]"
B177,1,0.4045238095238095,0.45,0.047027027027027,0.0389189189189189,0.0524324324324324,0.0123684210526315,0.1051282051282051,0.0439473684210526,0.0326315789473684,0.0,0.0224324324324324,0.0034210526315789,0.0064864864864864,0.0345945945945945,0.0405405405405405,0.0976315789473684,0.0263157894736842,0.0262162162162162,0.1331578947368421,0.0335897435897435,0.0108108108108108,"[0.047027027027027, 0.0389189189189189, 0.0524324324324324, 0.0123684210526315, 0.1051282051282051, 0.0439473684210526, 0.0326315789473684, 0.0, 0.0224324324324324, 0.0034210526315789, 0.0064864864864864, 0.0345945945945945, 0.0405405405405405, 0.0976315789473684, 0.0263157894736842, 0.0262162162162162, 0.1331578947368421, 0.0335897435897435, 0.0108108108108108]","[0.4045238095238095, 0.45]","[0.4045238095238095, 0.45, 0.047027027027027, 0.0389189189189189, 0.0524324324324324, 0.0123684210526315, 0.1051282051282051, 0.0439473684210526, 0.0326315789473684, 0.0, 0.0224324324324324, 0.0034210526315789, 0.0064864864864864, 0.0345945945945945, 0.0405405405405405, 0.0976315789473684, 0.0263157894736842, 0.0262162162162162, 0.1331578947368421, 0.0335897435897435, 0.0108108108108108]"
A180,1,0.3003225806451612,0.512258064516129,0.036,0.0364,0.025,0.0384,0.0762962962962962,0.0881481481481481,0.014074074074074,0.0364,0.0004166666666666,0.0424,0.0352,0.0665384615384615,0.0816,0.0128,0.0233333333333333,0.0128,0.0720833333333333,0.0632,0.1004166666666666,"[0.036, 0.0364, 0.025, 0.0384, 0.0762962962962962, 0.0881481481481481, 0.014074074074074, 0.0364, 0.0004166666666666, 0.0424, 0.0352, 0.0665384615384615, 0.0816, 0.0128, 0.0233333333333333, 0.0128, 0.0720833333333333, 0.0632, 0.1004166666666666]","[0.3003225806451612, 0.512258064516129]","[0.3003225806451612, 0.512258064516129, 0.036, 0.0364, 0.025, 0.0384, 0.0762962962962962, 0.0881481481481481, 0.014074074074074, 0.0364, 0.0004166666666666, 0.0424, 0.0352, 0.0665384615384615, 0.0816, 0.0128, 0.0233333333333333, 0.0128, 0.0720833333333333, 0.0632, 0.1004166666666666]"
B180,1,0.37,0.5656756756756757,0.0312121212121212,0.0497058823529411,0.0181818181818181,0.03,0.0988235294117647,0.0739393939393939,0.0603030303030303,0.0224242424242424,0.1188235294117647,0.0523529411764705,0.0251515151515151,0.0639393939393939,0.073030303030303,0.0875757575757575,0.0424242424242424,0.0003030303030303,0.1074285714285714,0.0758823529411764,0.0811764705882353,"[0.0312121212121212, 0.0497058823529411, 0.0181818181818181, 0.03, 0.0988235294117647, 0.0739393939393939, 0.0603030303030303, 0.0224242424242424, 0.1188235294117647, 0.0523529411764705, 0.0251515151515151, 0.0639393939393939, 0.073030303030303, 0.0875757575757575, 0.0424242424242424, 0.0003030303030303, 0.1074285714285714, 0.0758823529411764, 0.0811764705882353]","[0.37, 0.5656756756756757]","[0.37, 0.5656756756756757, 0.0312121212121212, 0.0497058823529411, 0.0181818181818181, 0.03, 0.0988235294117647, 0.0739393939393939, 0.0603030303030303, 0.0224242424242424, 0.1188235294117647, 0.0523529411764705, 0.0251515151515151, 0.0639393939393939, 0.073030303030303, 0.0875757575757575, 0.0424242424242424, 0.0003030303030303, 0.1074285714285714, 0.0758823529411764, 0.0811764705882353]"
A196,1,0.14,0.3848148148148148,0.09,0.0045454545454545,0.0065217391304347,0.0072727272727272,0.10375,0.0243478260869565,0.0236363636363636,0.0104545454545454,0.0077272727272727,0.0,0.0591304347826086,0.02375,0.1069565217391304,0.15,0.0618181818181818,0.064090909090909,0.0221739130434782,0.0454545454545454,0.014090909090909,"[0.09, 0.0045454545454545, 0.0065217391304347, 0.0072727272727272, 0.10375, 0.0243478260869565, 0.0236363636363636, 0.0104545454545454, 0.0077272727272727, 0.0, 0.0591304347826086, 0.02375, 0.1069565217391304, 0.15, 0.0618181818181818, 0.064090909090909, 0.0221739130434782, 0.0454545454545454, 0.014090909090909]","[0.14, 0.3848148148148148]","[0.14, 0.3848148148148148, 0.09, 0.0045454545454545, 0.0065217391304347, 0.0072727272727272, 0.10375, 0.0243478260869565, 0.0236363636363636, 0.0104545454545454, 0.0077272727272727, 0.0, 0.0591304347826086, 0.02375, 0.1069565217391304, 0.15, 0.0618181818181818, 0.064090909090909, 0.0221739130434782, 0.0454545454545454, 0.014090909090909]"
B196,1,0.3569444444444444,0.5266666666666666,0.0321875,0.0278125,0.0225,0.0459375,0.0751515151515151,0.0523529411764705,0.0669696969696969,0.0,0.0596875,0.013125,0.0190625,0.0221875,0.0715625,0.0509375,0.0875,0.03,0.1673529411764706,0.0991176470588235,0.020625,"[0.0321875, 0.0278125, 0.0225, 0.0459375, 0.0751515151515151, 0.0523529411764705, 0.0669696969696969, 0.0, 0.0596875, 0.013125, 0.0190625, 0.0221875, 0.0715625, 0.0509375, 0.0875, 0.03, 0.1673529411764706, 0.0991176470588235, 0.020625]","[0.3569444444444444, 0.5266666666666666]","[0.3569444444444444, 0.5266666666666666, 0.0321875, 0.0278125, 0.0225, 0.0459375, 0.0751515151515151, 0.0523529411764705, 0.0669696969696969, 0.0, 0.0596875, 0.013125, 0.0190625, 0.0221875, 0.0715625, 0.0509375, 0.0875, 0.03, 0.1673529411764706, 0.0991176470588235, 0.020625]"
