,stimulus,Task1,Task2_single,Task2_mix,Intensity,Pleasantness,Green,Cucumber,Herbal,Mint,Woody,Pine,Floral,Powdery,Fruity,Citrus,Tropical,Berry,Peach,Sweet,Caramellic,Vanilla,BrownSpice,Smoky,Burnt,Roasted,Grainy,Meaty,Nutty,Fatty,Coconut,Waxy,Dairy,Buttery,Cheesy,Sour,Fermented,Sulfurous,Garlic.Onion,Earthy,Mushroom,Musty,Ammonia,Fishy,Fecal,Rotten.Decay,Rubber,Phenolic,Animal,Medicinal,Cooling,Sharp,Chlorine,Alcoholic,Plastic,Ozone,Metallic,rata,intensity_pleasantness,rata_intensity_pleasantness
0,AA007,0,0,1,0.3888461538,0.5650000000000001,0.1307692308,0.5615384616,0.0153846154,0.0076923076,0.0,0.023076923,0.0923076924,0.1,0.0384615384,0.0076923076,0.0076923076,0.023076923,0.0538461538,0.0769230769999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023076923,0.0,0.0,0.0,0.0,0.0384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0307692308,0.0,0.0384615384,0.0,0.0307692308,0.0384615384,0.0307692308,0.0538461538,0.0,0.0692307692,0.0153846154,0.0538461538,0.0,0.0,"[0.1307692308, 0.5615384616, 0.015384615400000001, 0.007692307600000001, 0.0, 0.023076923, 0.0923076924, 0.1, 0.0384615384, 0.007692307600000001, 0.007692307600000001, 0.023076923, 0.0538461538, 0.07692307699999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023076923, 0.0, 0.0, 0.0, 0.0, 0.0384615384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030769230800000002, 0.0, 0.0384615384, 0.0, 0.030769230800000002, 0.0384615384, 0.030769230800000002, 0.0538461538, 0.0, 0.0692307692, 0.015384615400000001, 0.0538461538, 0.0, 0.0]","[0.3888461538, 0.5650000000000001]","[0.3888461538, 0.5650000000000001, 0.1307692308, 0.5615384616, 0.015384615400000001, 0.007692307600000001, 0.0, 0.023076923, 0.0923076924, 0.1, 0.0384615384, 0.007692307600000001, 0.007692307600000001, 0.023076923, 0.0538461538, 0.07692307699999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023076923, 0.0, 0.0, 0.0, 0.0, 0.0384615384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030769230800000002, 0.0, 0.0384615384, 0.0, 0.030769230800000002, 0.0384615384, 0.030769230800000002, 0.0538461538, 0.0, 0.0692307692, 0.015384615400000001, 0.0538461538, 0.0, 0.0]"
1,AA085,0,0,1,0.7653846154,0.4765384615,0.0153846154,0.0,0.1384615384,0.1461538462,0.0,0.0,0.0307692308,0.0,0.0307692308,0.0076923076,0.0153846154,0.0,0.0,0.0769230769999999,0.0,0.0,0.0,0.0307692308,0.0,0.0384615384,0.0,0.0,0.0,0.0384615384,0.0,0.0307692308,0.0,0.0,0.0,0.0,0.0076923076,0.0,0.0,0.023076923,0.0,0.0076923076,0.1,0.0,0.0,0.0384615384,0.0076923076,0.0307692308,0.0,0.4692307692,0.4692307692,0.1846153846,0.0153846154,0.1384615384,0.0,0.023076923,0.0,"[0.015384615400000001, 0.0, 0.1384615384, 0.1461538462, 0.0, 0.0, 0.030769230800000002, 0.0, 0.030769230800000002, 0.007692307600000001, 0.015384615400000001, 0.0, 0.0, 0.07692307699999999, 0.0, 0.0, 0.0, 0.030769230800000002, 0.0, 0.0384615384, 0.0, 0.0, 0.0, 0.0384615384, 0.0, 0.030769230800000002, 0.0, 0.0, 0.0, 0.0, 0.007692307600000001, 0.0, 0.0, 0.023076923, 0.0, 0.007692307600000001, 0.1, 0.0, 0.0, 0.0384615384, 0.007692307600000001, 0.030769230800000002, 0.0, 0.4692307692, 0.4692307692, 0.1846153846, 0.015384615400000001, 0.1384615384, 0.0, 0.023076923, 0.0]","[0.7653846154, 0.4765384615]","[0.7653846154, 0.4765384615, 0.015384615400000001, 0.0, 0.1384615384, 0.1461538462, 0.0, 0.0, 0.030769230800000002, 0.0, 0.030769230800000002, 0.007692307600000001, 0.015384615400000001, 0.0, 0.0, 0.07692307699999999, 0.0, 0.0, 0.0, 0.030769230800000002, 0.0, 0.0384615384, 0.0, 0.0, 0.0, 0.0384615384, 0.0, 0.030769230800000002, 0.0, 0.0, 0.0, 0.0, 0.007692307600000001, 0.0, 0.0, 0.023076923, 0.0, 0.007692307600000001, 0.1, 0.0, 0.0, 0.0384615384, 0.007692307600000001, 0.030769230800000002, 0.0, 0.4692307692, 0.4692307692, 0.1846153846, 0.015384615400000001, 0.1384615384, 0.0, 0.023076923, 0.0]"
2,AA088,0,0,1,0.6111538462,0.4261538461999999,0.176923077,0.0076923076,0.1384615384,0.023076923,0.0307692308,0.0,0.0384615384,0.0615384616,0.0461538462,0.0,0.0153846154,0.0307692308,0.0307692308,0.0769230769999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0307692308,0.0,0.0153846154,0.0076923076,0.0,0.0,0.023076923,0.0,0.0384615384,0.0538461538,0.0153846154,0.0,0.0,0.0769230769999999,0.0,0.1461538462,0.0,0.0,0.0,0.0153846154,0.0538461538,0.1538461538,0.0,0.1692307692,0.0076923076,0.0076923076,0.1307692308,0.0692307692,0.0384615384,0.0769230769999999,0.0384615384,"[0.176923077, 0.007692307600000001, 0.1384615384, 0.023076923, 0.030769230800000002, 0.0, 0.0384615384, 0.061538461600000004, 0.0461538462, 0.0, 0.015384615400000001, 0.030769230800000002, 0.030769230800000002, 0.07692307699999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030769230800000002, 0.0, 0.015384615400000001, 0.007692307600000001, 0.0, 0.0, 0.023076923, 0.0, 0.0384615384, 0.0538461538, 0.015384615400000001, 0.0, 0.0, 0.07692307699999999, 0.0, 0.1461538462, 0.0, 0.0, 0.0, 0.015384615400000001, 0.0538461538, 0.1538461538, 0.0, 0.1692307692, 0.007692307600000001, 0.007692307600000001, 0.1307692308, 0.0692307692, 0.0384615384, 0.07692307699999999, 0.0384615384]","[0.6111538462, 0.42615384619999996]","[0.6111538462, 0.42615384619999996, 0.176923077, 0.007692307600000001, 0.1384615384, 0.023076923, 0.030769230800000002, 0.0, 0.0384615384, 0.061538461600000004, 0.0461538462, 0.0, 0.015384615400000001, 0.030769230800000002, 0.030769230800000002, 0.07692307699999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030769230800000002, 0.0, 0.015384615400000001, 0.007692307600000001, 0.0, 0.0, 0.023076923, 0.0, 0.0384615384, 0.0538461538, 0.015384615400000001, 0.0, 0.0, 0.07692307699999999, 0.0, 0.1461538462, 0.0, 0.0, 0.0, 0.015384615400000001, 0.0538461538, 0.1538461538, 0.0, 0.1692307692, 0.007692307600000001, 0.007692307600000001, 0.1307692308, 0.0692307692, 0.0384615384, 0.07692307699999999, 0.0384615384]"
3,AA097,0,0,1,0.6246153846,0.6411538462,0.0615384616,0.5076923076,0.0153846154,0.0384615384,0.0,0.0,0.0076923076,0.0384615384,0.0692307692,0.0,0.0,0.0,0.0,0.1307692308,0.0,0.0,0.0,0.0,0.0,0.3307692308,0.423076923,0.0,0.176923077,0.0769230769999999,0.0,0.0,0.0153846154,0.0307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023076923,0.0,0.0384615384,0.0,0.0,0.0,0.0,0.0153846154,0.0,0.0769230769999999,0.0,0.0,0.0,0.0,"[0.061538461600000004, 0.5076923076, 0.015384615400000001, 0.0384615384, 0.0, 0.0, 0.007692307600000001, 0.0384615384, 0.0692307692, 0.0, 0.0, 0.0, 0.0, 0.1307692308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3307692308, 0.423076923, 0.0, 0.176923077, 0.07692307699999999, 0.0, 0.0, 0.015384615400000001, 0.030769230800000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023076923, 0.0, 0.0384615384, 0.0, 0.0, 0.0, 0.0, 0.015384615400000001, 0.0, 0.07692307699999999, 0.0, 0.0, 0.0, 0.0]","[0.6246153846, 0.6411538462]","[0.6246153846, 0.6411538462, 0.061538461600000004, 0.5076923076, 0.015384615400000001, 0.0384615384, 0.0, 0.0, 0.007692307600000001, 0.0384615384, 0.0692307692, 0.0, 0.0, 0.0, 0.0, 0.1307692308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3307692308, 0.423076923, 0.0, 0.176923077, 0.07692307699999999, 0.0, 0.0, 0.015384615400000001, 0.030769230800000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023076923, 0.0, 0.0384615384, 0.0, 0.0, 0.0, 0.0, 0.015384615400000001, 0.0, 0.07692307699999999, 0.0, 0.0, 0.0, 0.0]"
4,AA142,0,0,1,0.6430769231,0.4923076923,0.0153846154,0.0,0.0076923076,0.0,0.0461538462,0.0,0.1615384616,0.0461538462,0.0384615384,0.0,0.0,0.0,0.0,0.0076923076,0.0,0.0,0.0,0.023076923,0.0076923076,0.0846153846,0.0307692308,0.0461538462,0.0384615384,0.0307692308,0.0,0.0307692308,0.0,0.0538461538,0.176923077,0.0692307692,0.0,0.0384615384,0.6615384616,0.0,0.023076923,0.0,0.0307692308,0.0,0.0,0.0307692308,0.0,0.0538461538,0.0,0.0307692308,0.0,0.0076923076,0.0076923076,0.0,0.023076923,0.0076923076,0.0,"[0.015384615400000001, 0.0, 0.007692307600000001, 0.0, 0.0461538462, 0.0, 0.16153846160000002, 0.0461538462, 0.0384615384, 0.0, 0.0, 0.0, 0.0, 0.007692307600000001, 0.0, 0.0, 0.0, 0.023076923, 0.007692307600000001, 0.0846153846, 0.030769230800000002, 0.0461538462, 0.0384615384, 0.030769230800000002, 0.0, 0.030769230800000002, 0.0, 0.0538461538, 0.176923077, 0.0692307692, 0.0, 0.0384615384, 0.6615384616, 0.0, 0.023076923, 0.0, 0.030769230800000002, 0.0, 0.0, 0.030769230800000002, 0.0, 0.0538461538, 0.0, 0.030769230800000002, 0.0, 0.007692307600000001, 0.007692307600000001, 0.0, 0.023076923, 0.007692307600000001, 0.0]","[0.6430769231, 0.4923076923]","[0.6430769231, 0.4923076923, 0.015384615400000001, 0.0, 0.007692307600000001, 0.0, 0.0461538462, 0.0, 0.16153846160000002, 0.0461538462, 0.0384615384, 0.0, 0.0, 0.0, 0.0, 0.007692307600000001, 0.0, 0.0, 0.0, 0.023076923, 0.007692307600000001, 0.0846153846, 0.030769230800000002, 0.0461538462, 0.0384615384, 0.030769230800000002, 0.0, 0.030769230800000002, 0.0, 0.0538461538, 0.176923077, 0.0692307692, 0.0, 0.0384615384, 0.6615384616, 0.0, 0.023076923, 0.0, 0.030769230800000002, 0.0, 0.0, 0.030769230800000002, 0.0, 0.0538461538, 0.0, 0.030769230800000002, 0.0, 0.007692307600000001, 0.007692307600000001, 0.0, 0.023076923, 0.007692307600000001, 0.0]"
5,AA162,0,0,1,0.6388461538,0.7076923077,0.2461538462,0.5076923076,0.1076923076,0.0153846154,0.0153846154,0.0846153846,0.1692307692,0.0,0.1153846154,0.2230769229999999,0.0923076924,0.1,0.0769230769999999,0.0692307692,0.0,0.0,0.0615384616,0.0,0.0076923076,0.0,0.0076923076,0.0,0.0,0.0,0.0,0.0307692308,0.0,0.0,0.0,0.023076923,0.0,0.0,0.0,0.0,0.0,0.0153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769999999,0.0,0.0076923076,0.0076923076,0.0,0.0,0.0,"[0.2461538462, 0.5076923076, 0.1076923076, 0.015384615400000001, 0.015384615400000001, 0.0846153846, 0.1692307692, 0.0, 0.1153846154, 0.22307692299999998, 0.0923076924, 0.1, 0.07692307699999999, 0.0692307692, 0.0, 0.0, 0.061538461600000004, 0.0, 0.007692307600000001, 0.0, 0.007692307600000001, 0.0, 0.0, 0.0, 0.0, 0.030769230800000002, 0.0, 0.0, 0.0, 0.023076923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015384615400000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307699999999, 0.0, 0.007692307600000001, 0.007692307600000001, 0.0, 0.0, 0.0]","[0.6388461538, 0.7076923077]","[0.6388461538, 0.7076923077, 0.2461538462, 0.5076923076, 0.1076923076, 0.015384615400000001, 0.015384615400000001, 0.0846153846, 0.1692307692, 0.0, 0.1153846154, 0.22307692299999998, 0.0923076924, 0.1, 0.07692307699999999, 0.0692307692, 0.0, 0.0, 0.061538461600000004, 0.0, 0.007692307600000001, 0.0, 0.007692307600000001, 0.0, 0.0, 0.0, 0.0, 0.030769230800000002, 0.0, 0.0, 0.0, 0.023076923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015384615400000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692307699999999, 0.0, 0.007692307600000001, 0.007692307600000001, 0.0, 0.0, 0.0]"
6,AA175,0,0,1,0.4676923077,0.5007692308,0.0,0.0076923076,0.0461538462,0.023076923,0.0307692308,0.0,0.2153846154,0.0615384616,0.1692307692,0.0,0.0,0.0307692308,0.023076923,0.1384615384,0.0076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153846154,0.0307692308,0.0923076924,0.0,0.0,0.0,0.0153846154,0.0,0.023076923,0.0,0.0,0.0461538462,0.0153846154,0.0,0.0,0.0,0.023076923,0.1,0.023076923,0.0769230769999999,0.1076923076,0.0461538462,0.0538461538,0.1076923076,0.0846153846,0.0307692308,0.0,"[0.0, 0.007692307600000001, 0.0461538462, 0.023076923, 0.030769230800000002, 0.0, 0.2153846154, 0.061538461600000004, 0.1692307692, 0.0, 0.0, 0.030769230800000002, 0.023076923, 0.1384615384, 0.007692307600000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015384615400000001, 0.030769230800000002, 0.0923076924, 0.0, 0.0, 0.0, 0.015384615400000001, 0.0, 0.023076923, 0.0, 0.0, 0.0461538462, 0.015384615400000001, 0.0, 0.0, 0.0, 0.023076923, 0.1, 0.023076923, 0.07692307699999999, 0.1076923076, 0.0461538462, 0.0538461538, 0.1076923076, 0.0846153846, 0.030769230800000002, 0.0]","[0.4676923077, 0.5007692308]","[0.4676923077, 0.5007692308, 0.0, 0.007692307600000001, 0.0461538462, 0.023076923, 0.030769230800000002, 0.0, 0.2153846154, 0.061538461600000004, 0.1692307692, 0.0, 0.0, 0.030769230800000002, 0.023076923, 0.1384615384, 0.007692307600000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015384615400000001, 0.030769230800000002, 0.0923076924, 0.0, 0.0, 0.0, 0.015384615400000001, 0.0, 0.023076923, 0.0, 0.0, 0.0461538462, 0.015384615400000001, 0.0, 0.0, 0.0, 0.023076923, 0.1, 0.023076923, 0.07692307699999999, 0.1076923076, 0.0461538462, 0.0538461538, 0.1076923076, 0.0846153846, 0.030769230800000002, 0.0]"
7,AA212,0,0,1,0.3615384615,0.5073076923000001,0.0,0.0,0.0,0.0307692308,0.0,0.0,0.2076923076,0.1230769229999999,0.0384615384,0.0692307692,0.0076923076,0.0153846154,0.0,0.1538461538,0.0,0.0384615384,0.0,0.0153846154,0.0076923076,0.0,0.0,0.0,0.0,0.0,0.0307692308,0.0,0.0692307692,0.0153846154,0.0,0.0538461538,0.0,0.0,0.0,0.0,0.0,0.023076923,0.0,0.0,0.0,0.0,0.0,0.0384615384,0.0,0.1153846154,0.0615384616,0.0846153846,0.0076923076,0.0461538462,0.0692307692,0.0538461538,0.0153846154,"[0.0, 0.0, 0.0, 0.030769230800000002, 0.0, 0.0, 0.2076923076, 0.12307692299999999, 0.0384615384, 0.0692307692, 0.007692307600000001, 0.015384615400000001, 0.0, 0.1538461538, 0.0, 0.0384615384, 0.0, 0.015384615400000001, 0.007692307600000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030769230800000002, 0.0, 0.0692307692, 0.015384615400000001, 0.0, 0.0538461538, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023076923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0384615384, 0.0, 0.1153846154, 0.061538461600000004, 0.0846153846, 0.007692307600000001, 0.0461538462, 0.0692307692, 0.0538461538, 0.015384615400000001]","[0.3615384615, 0.5073076923000001]","[0.3615384615, 0.5073076923000001, 0.0, 0.0, 0.0, 0.030769230800000002, 0.0, 0.0, 0.2076923076, 0.12307692299999999, 0.0384615384, 0.0692307692, 0.007692307600000001, 0.015384615400000001, 0.0, 0.1538461538, 0.0, 0.0384615384, 0.0, 0.015384615400000001, 0.007692307600000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030769230800000002, 0.0, 0.0692307692, 0.015384615400000001, 0.0, 0.0538461538, 0.0, 0.0, 0.0, 0.0, 0.0, 0.023076923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0384615384, 0.0, 0.1153846154, 0.061538461600000004, 0.0846153846, 0.007692307600000001, 0.0461538462, 0.0692307692, 0.0538461538, 0.015384615400000001]"
8,AA217,0,0,1,0.6157692308,0.4669230769,0.0384615384,0.0,0.0384615384,0.0,0.0,0.0,0.023076923,0.0076923076,0.0153846154,0.0,0.0,0.0,0.0538461538,0.1923076924,0.0769230769999999,0.0,0.0,0.0615384616,0.1307692308,0.1461538462,0.0769230769999999,0.0,0.1,0.1153846154,0.0307692308,0.2153846154,0.0,0.1307692308,0.0307692308,0.0076923076,0.0,0.0769230769999999,0.0,0.0769230769999999,0.1076923076,0.0076923076,0.0384615384,0.0,0.0,0.0384615384,0.0384615384,0.023076923,0.1076923076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0384615384, 0.0, 0.0384615384, 0.0, 0.0, 0.0, 0.023076923, 0.007692307600000001, 0.015384615400000001, 0.0, 0.0, 0.0, 0.0538461538, 0.1923076924, 0.07692307699999999, 0.0, 0.0, 0.061538461600000004, 0.1307692308, 0.1461538462, 0.07692307699999999, 0.0, 0.1, 0.1153846154, 0.030769230800000002, 0.2153846154, 0.0, 0.1307692308, 0.030769230800000002, 0.007692307600000001, 0.0, 0.07692307699999999, 0.0, 0.07692307699999999, 0.1076923076, 0.007692307600000001, 0.0384615384, 0.0, 0.0, 0.0384615384, 0.0384615384, 0.023076923, 0.1076923076, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.6157692308, 0.4669230769]","[0.6157692308, 0.4669230769, 0.0384615384, 0.0, 0.0384615384, 0.0, 0.0, 0.0, 0.023076923, 0.007692307600000001, 0.015384615400000001, 0.0, 0.0, 0.0, 0.0538461538, 0.1923076924, 0.07692307699999999, 0.0, 0.0, 0.061538461600000004, 0.1307692308, 0.1461538462, 0.07692307699999999, 0.0, 0.1, 0.1153846154, 0.030769230800000002, 0.2153846154, 0.0, 0.1307692308, 0.030769230800000002, 0.007692307600000001, 0.0, 0.07692307699999999, 0.0, 0.07692307699999999, 0.1076923076, 0.007692307600000001, 0.0384615384, 0.0, 0.0, 0.0384615384, 0.0384615384, 0.023076923, 0.1076923076, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,AA297,0,0,1,0.5165384614999999,0.5446153845999999,0.0307692308,0.0,0.0384615384,0.0615384616,0.0153846154,0.0,0.0615384616,0.1384615384,0.0538461538,0.0,0.023076923,0.0307692308,0.023076923,0.2846153846,0.0692307692,0.0538461538,0.0,0.0846153846,0.0,0.023076923,0.0,0.0153846154,0.0461538462,0.0461538462,0.0846153846,0.2153846154,0.0307692308,0.2692307692,0.0769230769999999,0.0307692308,0.0,0.0153846154,0.0076923076,0.0307692308,0.0153846154,0.023076923,0.0,0.0,0.0,0.0,0.023076923,0.023076923,0.0,0.0,0.0153846154,0.0,0.0,0.023076923,0.0,0.0,0.0,"[0.030769230800000002, 0.0, 0.0384615384, 0.061538461600000004, 0.015384615400000001, 0.0, 0.061538461600000004, 0.1384615384, 0.0538461538, 0.0, 0.023076923, 0.030769230800000002, 0.023076923, 0.2846153846, 0.0692307692, 0.0538461538, 0.0, 0.0846153846, 0.0, 0.023076923, 0.0, 0.015384615400000001, 0.0461538462, 0.0461538462, 0.0846153846, 0.2153846154, 0.030769230800000002, 0.2692307692, 0.07692307699999999, 0.030769230800000002, 0.0, 0.015384615400000001, 0.007692307600000001, 0.030769230800000002, 0.015384615400000001, 0.023076923, 0.0, 0.0, 0.0, 0.0, 0.023076923, 0.023076923, 0.0, 0.0, 0.015384615400000001, 0.0, 0.0, 0.023076923, 0.0, 0.0, 0.0]","[0.5165384614999999, 0.5446153845999999]","[0.5165384614999999, 0.5446153845999999, 0.030769230800000002, 0.0, 0.0384615384, 0.061538461600000004, 0.015384615400000001, 0.0, 0.061538461600000004, 0.1384615384, 0.0538461538, 0.0, 0.023076923, 0.030769230800000002, 0.023076923, 0.2846153846, 0.0692307692, 0.0538461538, 0.0, 0.0846153846, 0.0, 0.023076923, 0.0, 0.015384615400000001, 0.0461538462, 0.0461538462, 0.0846153846, 0.2153846154, 0.030769230800000002, 0.2692307692, 0.07692307699999999, 0.030769230800000002, 0.0, 0.015384615400000001, 0.007692307600000001, 0.030769230800000002, 0.015384615400000001, 0.023076923, 0.0, 0.0, 0.0, 0.0, 0.023076923, 0.023076923, 0.0, 0.0, 0.015384615400000001, 0.0, 0.0, 0.023076923, 0.0, 0.0, 0.0]"
