,stimulus,CID,dilution,solvent,components,solvent_onehot,dilution_info,cmp_ids,mix_rata,all_rata
0,AA007,"[5362720, 91497]","[0.015, 1.0]","['pg', 'nt']","[244, 526]","[0, 2]","[[0.015, 1.0], [0, 2]]","[61, 139]","[0.52036108195, 0.6169577206000001, 0.1613404088, 0.2425314465, 0.051985062900000004, 0.0100039308, 0.0420204403, 0.012578616400000001, 0.177672956, 0.1226415094, 0.063168239, 0.0512971698, 0.0275550314, 0.006918239, 0.0062893082000000005, 0.132822327, 0.0056603774, 0.015703616400000002, 0.0, 0.0006289308, 0.0018867925000000002, 0.0, 0.0, 0.0025157233, 0.0031446541000000002, 0.0044025157, 0.0131878931, 0.038836478, 0.010062893100000001, 0.0, 0.0050314465, 0.011320754700000001, 0.0044025157, 0.0018867925000000002, 0.0, 0.011320754700000001, 0.0, 0.0683372642, 0.0094339623, 0.0, 0.0, 0.0, 0.0212853774, 0.030699685499999997, 0.0025157233, 0.013836478, 0.0331761006, 0.0050314465, 0.0213246855, 0.017570754700000003, 0.0188089623, 0.0940055031, 0.0094339623]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
1,AA085,"[7765, 2724126]","[0.001, 0.1]","['pg', 'pg']","[411, 155]","[0, 0]","[[0.001, 0.1], [0, 0]]","[107, 38]","[0.38415966385, 0.2492436975, 0.0088050314, 0.0031446541000000002, 0.0232704403, 0.0383647799, 0.0025157233, 0.0314465409, 0.0012578616, 0.0044025157, 0.0037735849000000003, 0.0075471698000000005, 0.0044025157, 0.0012578616, 0.0025157233, 0.010062893100000001, 0.0, 0.0012578616, 0.0037735849000000003, 0.0031446541000000002, 0.0018867925000000002, 0.0, 0.0, 0.0012578616, 0.0, 0.0044025157, 0.0, 0.0012578616, 0.0, 0.0, 0.0037735849000000003, 0.0025157233, 0.0062893082000000005, 0.006918239, 0.0025157233, 0.0075471698000000005, 0.0018867925000000002, 0.0132075472, 0.0427672956, 0.0144654088, 0.0050314465, 0.0176100629, 0.0018867925000000002, 0.0163522013, 0.0037735849000000003, 0.2867924528, 0.18427672960000002, 0.0433962264, 0.0245283019, 0.0377358491, 0.0088050314, 0.013836478, 0.006918239]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
2,AA088,"[7127, 11552]","[0.2, 0.01]","['pg', 'pg']","[344, 65]","[0, 0]","[[0.2, 0.01], [0, 0]]","[89, 12]","[0.25957983195, 0.25470588235, 0.0748427673, 0.0182389937, 0.05471698109999999, 0.0081761006, 0.0635220126, 0.0327044025, 0.0396226415, 0.0056603774, 0.0037735849000000003, 0.0075471698000000005, 0.0044025157, 0.0031446541000000002, 0.0031446541000000002, 0.0106918239, 0.0, 0.0, 0.012578616400000001, 0.0044025157, 0.010062893100000001, 0.0012578616, 0.0044025157, 0.0, 0.0050314465, 0.0025157233, 0.0012578616, 0.0044025157, 0.0, 0.0, 0.0, 0.0037735849000000003, 0.0088050314, 0.0031446541000000002, 0.0, 0.0389937107, 0.010062893100000001, 0.0836477987, 0.0106918239, 0.0, 0.0, 0.0075471698000000005, 0.0188679245, 0.0427672956, 0.0050314465, 0.0477987421, 0.022641509400000003, 0.0132075472, 0.025786163499999997, 0.0232704403, 0.019496855299999998, 0.050314465399999994, 0.0176100629]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
3,AA097,"[5362720, 14286]","[0.015, 0.001]","['pg', 'pg']","[244, 100]","[0, 0]","[[0.015, 0.001], [0, 0]]","[61, 24]","[0.31078125, 0.31578125, 0.146875, 0.2375, 0.034375, 0.009375, 0.01875, 0.0, 0.05, 0.0, 0.05625, 0.04375, 0.01875, 0.0, 0.0, 0.08125, 0.0, 0.003125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003125, 0.025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.034375, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.01875, 0.0, 0.0, 0.025, 0.0, 0.009375, 0.00625, 0.009375, 0.053125, 0.0]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
4,AA142,"[16590, 91497]","[0.001, 1.0]","['pg', 'nt']","[121, 526]","[0, 2]","[[0.001, 1.0], [0, 2]]","[28, 139]","[0.55088235295, 0.5833613445500001, 0.019496855299999998, 0.010062893, 0.0257861635, 0.0006289308, 0.0238993711, 0.012578616400000001, 0.127672956, 0.1232704402, 0.006918239, 0.0075471698000000005, 0.0088050314, 0.0088050315, 0.0062893082000000005, 0.051572326999999994, 0.0056603774, 0.012578616400000001, 0.0006289308, 0.010691823900000001, 0.0125786164, 0.029559748400000002, 0.0018867925000000002, 0.0421383648, 0.0069182390000000005, 0.0201257861, 0.010062893100000001, 0.0144654088, 0.012578616400000001, 0.0075471698000000005, 0.034591194900000004, 0.030188679200000002, 0.0465408805, 0.026415094400000002, 0.4150943396, 0.0169811321, 0.025157232699999997, 0.040880503199999994, 0.0106918239, 0.0018867925000000002, 0.0012578616, 0.010062893100000001, 0.0220125787, 0.013836478, 0.0044025158, 0.013836478, 0.0081761006, 0.019496855299999998, 0.0150943396, 0.011320754700000001, 0.0094339623, 0.044654088, 0.0144654088]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
5,AA162,"[5362720, 6549]","[0.015, 0.1]","['pg', 'pg']","[244, 321]","[0, 0]","[[0.015, 0.1], [0, 0]]","[61, 81]","[0.63187368695, 0.62057116595, 0.2217177673, 0.2519654088, 0.10795990570000001, 0.0401926101, 0.0369889937, 0.0647798742, 0.1210691824, 0.0119496855, 0.1090801887, 0.13997641509999997, 0.0369889937, 0.0220125786, 0.0094339623, 0.1315644654, 0.0025157233, 0.006269654100000001, 0.019496855299999998, 0.0025157233, 0.0037735849000000003, 0.0, 0.0, 0.0, 0.0012578616, 0.0, 0.003125, 0.028773584900000003, 0.0025157233, 0.0, 0.0, 0.012578616400000001, 0.0012578616, 0.0025157233, 0.0, 0.0006289308, 0.0, 0.048211478, 0.026415094300000004, 0.0012578616, 0.0, 0.0018867925000000002, 0.020027515699999998, 0.029441823899999997, 0.0, 0.0440251572, 0.0646226415, 0.0163522013, 0.028242924500000002, 0.020086477999999998, 0.016293239, 0.0801690252, 0.0006289308]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
6,AA175,"[7765, 91497]","[0.001, 1.0]","['pg', 'nt']","[411, 526]","[0, 2]","[[0.001, 1.0], [0, 2]]","[107, 139]","[0.20957983195000002, 0.3011764706, 0.0144654088, 0.0050314465, 0.0176100629, 0.0006289308, 0.0232704403, 0.012578616400000001, 0.127672956, 0.1226415094, 0.006918239, 0.0075471698000000005, 0.0088050314, 0.006918239, 0.0062893082000000005, 0.051572326999999994, 0.0056603774, 0.012578616400000001, 0.0, 0.0006289308, 0.0018867925000000002, 0.0, 0.0, 0.0025157233, 0.0031446541000000002, 0.0044025157, 0.010062893100000001, 0.013836478, 0.010062893100000001, 0.0, 0.0050314465, 0.011320754700000001, 0.0044025157, 0.0018867925000000002, 0.0, 0.011320754700000001, 0.0, 0.033962264199999995, 0.0094339623, 0.0, 0.0, 0.0, 0.0056603774, 0.0119496855, 0.0025157233, 0.013836478, 0.0081761006, 0.0050314465, 0.0119496855, 0.011320754700000001, 0.0094339623, 0.0408805031, 0.0094339623]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
7,AA212,"[7765, 91497]","[0.001, 1.0]","['pg', 'nt']","[411, 526]","[0, 2]","[[0.001, 1.0], [0, 2]]","[107, 139]","[0.20957983195000002, 0.3011764706, 0.0144654088, 0.0050314465, 0.0176100629, 0.0006289308, 0.0232704403, 0.012578616400000001, 0.127672956, 0.1226415094, 0.006918239, 0.0075471698000000005, 0.0088050314, 0.006918239, 0.0062893082000000005, 0.051572326999999994, 0.0056603774, 0.012578616400000001, 0.0, 0.0006289308, 0.0018867925000000002, 0.0, 0.0, 0.0025157233, 0.0031446541000000002, 0.0044025157, 0.010062893100000001, 0.013836478, 0.010062893100000001, 0.0, 0.0050314465, 0.011320754700000001, 0.0044025157, 0.0018867925000000002, 0.0, 0.011320754700000001, 0.0, 0.033962264199999995, 0.0094339623, 0.0, 0.0, 0.0, 0.0056603774, 0.0119496855, 0.0025157233, 0.013836478, 0.0081761006, 0.0050314465, 0.0119496855, 0.011320754700000001, 0.0094339623, 0.0408805031, 0.0094339623]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
8,AA217,"[20499, 12810]","[0.02, 1.0]","['pg', 'nt']","[133, 96]","[0, 2]","[[0.02, 1.0], [0, 2]]","[32, 21]","[0.27333333335, 0.2925, 0.04, 0.0166666667, 0.05, 0.0166666667, 0.0833333333, 0.0166666667, 0.0633333333, 0.0366666667, 0.1, 0.0166666667, 0.023333333300000002, 0.033333333300000004, 0.0466666667, 0.1333333333, 0.04, 0.08, 0.01, 0.02, 0.0, 0.0166666667, 0.03, 0.0, 0.023333333300000002, 0.0433333333, 0.08666666669999999, 0.19, 0.0066666667, 0.0433333333, 0.0, 0.0, 0.0066666667, 0.0, 0.0, 0.023333333300000002, 0.0, 0.033333333300000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033333333, 0.0, 0.0, 0.0133333333, 0.0, 0.0, 0.0, 0.0033333333, 0.0, 0.0]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
9,AA297,"[62465, 12810]","[0.01, 1.0]","['pg', 'nt']","[285, 96]","[0, 2]","[[0.01, 1.0], [0, 2]]","[74, 21]","[0.27333333335, 0.2925, 0.04, 0.0166666667, 0.05, 0.0166666667, 0.0833333333, 0.0166666667, 0.0633333333, 0.0366666667, 0.1, 0.0166666667, 0.023333333300000002, 0.033333333300000004, 0.0466666667, 0.1333333333, 0.04, 0.08, 0.01, 0.02, 0.0, 0.0166666667, 0.03, 0.0, 0.023333333300000002, 0.0433333333, 0.08666666669999999, 0.19, 0.0066666667, 0.0433333333, 0.0, 0.0, 0.0066666667, 0.0, 0.0, 0.023333333300000002, 0.0, 0.033333333300000004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0033333333, 0.0, 0.0, 0.0133333333, 0.0, 0.0, 0.0, 0.0033333333, 0.0, 0.0]","['{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}', '{0.01, 0.378, 0.506, 0.08, 0.0, 0.0533333334, 0.02, 0.0733333334, 0.046666666600000004, 0.10666666659999999, 0.04, 0.17333333339999998, 0.0533333334, 0.0333333334, 0.06666666660000001, 0.0266666666, 0.1466666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0266666666, 0.0066666666, 0.0, 0.0, 0.04, 0.0, 0.06666666660000001, 0.04, 0.0333333334, 0.0, 0.0, 0.046666666600000004, 0.0, 0.0533333334, 0.046666666600000004, 0.0, 0.0, 0.04, 0.02, 0.0066666666, 0.02, 0.0, 0.02, 0.0266666666, 0.0133333334, 0.0266666666, 0.0133333334, 0.0, 0.0}']"
