stimulus,CID,dilution,solvent,components,solvent_onehot,dilution_info,cmp_ids
166,[16590],[0.001],['pg'],[121],[0],"[[0.001], [0]]",[28]
199,[7921],[1.0],['nt'],[441],[2],"[[1.0], [2]]",[116]
204,[7127],[0.2],['pg'],[344],[0],"[[0.2], [0]]",[89]
423,[2724126],[0.1],['pg'],[155],[0],"[[0.1], [0]]",[38]
588,[91497],[1.0],['nt'],[526],[2],"[[1.0], [2]]",[139]
628,[6549],[0.1],['pg'],[321],[0],"[[0.1], [0]]",[81]
715,[76322],[0.1],['pg'],[388],[0],"[[0.1], [0]]",[103]
788,[114533],[0.1],['pg'],[61],[0],"[[0.1], [0]]",[11]
909,[83623],[0.001],['pg'],[493],[0],"[[0.001], [0]]",[132]
937,[12813],[1.0],['nt'],[97],[2],"[[1.0], [2]]",[22]
992,[6989],[0.2],['pg'],[339],[0],"[[0.2], [0]]",[86]
A014,[5363388],[0.01],['pg'],,[0],"[[0.01], [0]]",[63]
A072,[8454],[0.1],['pg'],[502],[0],"[[0.1], [0]]",[135]
A095,[7991],[0.2],['pg'],,[0],"[[0.2], [0]]",[159]
A097,[7762],[0.1],['pg'],,[0],"[[0.1], [0]]",[106]
A117,[62444],[5e-05],['pg'],[283],[0],"[[5e-05], [0]]",[73]
A192,[32594],[0.0001],['pg'],,[0],"[[0.0001], [0]]",[46]
A204,[7762],[0.001],['pg'],[401],[0],"[[0.001], [0]]",[106]
A209,[11747],[0.0001],['pg'],[72],[0],"[[0.0001], [0]]",[14]
A240,[62378],[0.2],['pg'],,[0],"[[0.2], [0]]",[198]
A244,[12180],[0.003],['pg'],[76],[0],"[[0.003], [0]]",[16]
A245,[10430],[0.1],['pg'],[24],[0],"[[0.1], [0]]",[2]
A246,[6184],[0.001],['pg'],[273],[0],"[[0.001], [0]]",[70]
A298,[62444],[0.001],['pg'],,[0],"[[0.001], [0]]",[73]
A299,[61641],[1e-05],['pg'],,[0],"[[1e-05], [0]]",[68]
A315,[527],[0.1],['pg'],,[0],"[[0.1], [0]]",[147]
A316,[31260],[0.001],['pg'],[170],[0],"[[0.001], [0]]",[42]
A317,[10430],[0.001],['pg'],,[0],"[[0.001], [0]]",[2]
A351,[31265],[0.0001],['pg'],,[0],"[[0.0001], [0]]",[43]
A355,[7710],[0.4],['pg'],,[0],"[[0.4], [0]]",[156]
A398,[7945],[0.1],['pg'],[443],[0],"[[0.1], [0]]",[117]
A430,[7991],[0.001],['pg'],,[0],"[[0.001], [0]]",[159]
A442,[11747],[0.1],['pg'],,[0],"[[0.1], [0]]",[14]
A454,[638011],[0.005],['pg'],[305],[0],"[[0.005], [0]]",[78]
A468,[7945],[0.0001],['pg'],,[0],"[[0.0001], [0]]",[117]
A474,[62378],[0.001],['pg'],,[0],"[[0.001], [0]]",[198]
A483,[8130],[0.001],['pg'],,[0],"[[0.001], [0]]",[130]
A504,[638011],[1.0],['nt'],,[2],"[[1.0], [2]]",[78]
A521,[6561],[0.1],['pg'],,[0],"[[0.1], [0]]",[83]
A557,[3314],[0.005],['pg'],,[0],"[[0.005], [0]]",[48]
A571,[31276],[0.1],['pg'],,[0],"[[0.1], [0]]",[192]
A597,[7284],[0.1],['pg'],,[0],"[[0.1], [0]]",[154]
A671,[12180],[0.1],['pg'],,[0],"[[0.1], [0]]",[16]
A701,[61641],[0.01],['pg'],[268],[0],"[[0.01], [0]]",[68]
A800,[6561],[0.0005],['pg'],,[0],"[[0.0005], [0]]",[83]
A825,[7410],[0.1],['pg'],,[0],"[[0.1], [0]]",[100]
A829,[31265],[0.1],['pg'],,[0],"[[0.1], [0]]",[43]
A841,[7410],[0.001],['pg'],,[0],"[[0.001], [0]]",[100]
A858,[32594],[0.2],['pg'],,[0],"[[0.2], [0]]",[46]
A866,[8130],[0.1],['pg'],[487],[0],"[[0.1], [0]]",[130]
A867,[6184],[0.2],['pg'],,[0],"[[0.2], [0]]",[70]
A904,[8454],[0.0001],['pg'],,[0],"[[0.0001], [0]]",[135]
A945,[5363388],[0.001],['pg'],,[0],"[[0.001], [0]]",[63]
A949,[31276],[0.001],['pg'],,[0],"[[0.001], [0]]",[192]
A954,[7284],[0.0001],['pg'],,[0],"[[0.0001], [0]]",[154]
A956,[527],[0.005],['pg'],,[0],"[[0.005], [0]]",[147]
A978,[3314],[0.2],['pg'],,[0],"[[0.2], [0]]",[48]
A996,[31260],[0.3],['pg'],,[0],"[[0.3], [0]]",[42]
AA007,"[5362720, 91497]","[0.015, 1.0]","['pg', 'nt']","[244, 526]","[0, 2]","[[0.015, 1.0], [0, 2]]","[61, 139]"
AA034,"[16590, 6549]","[0.001, 0.1]","['pg', 'pg']","[121, 321]","[0, 0]","[[0.001, 0.1], [0, 0]]","[28, 81]"
AA085,"[7765, 2724126]","[0.001, 0.1]","['pg', 'pg']","[411, 155]","[0, 0]","[[0.001, 0.1], [0, 0]]","[107, 38]"
AA088,"[7127, 11552]","[0.2, 0.01]","['pg', 'pg']","[344, 65]","[0, 0]","[[0.2, 0.01], [0, 0]]","[89, 12]"
AA097,"[5362720, 14286]","[0.015, 0.001]","['pg', 'pg']","[244, 100]","[0, 0]","[[0.015, 0.001], [0, 0]]","[61, 24]"
AA142,"[16590, 91497]","[0.001, 1.0]","['pg', 'nt']","[121, 526]","[0, 2]","[[0.001, 1.0], [0, 2]]","[28, 139]"
AA160,"[6989, 62444]","[0.2, 0.001]","['pg', 'pg']","[339, 282]","[0, 0]","[[0.2, 0.001], [0, 0]]","[86, 73]"
AA162,"[5362720, 6549]","[0.015, 0.1]","['pg', 'pg']","[244, 321]","[0, 0]","[[0.015, 0.1], [0, 0]]","[61, 81]"
AA175,"[7765, 91497]","[0.001, 1.0]","['pg', 'nt']","[411, 526]","[0, 2]","[[0.001, 1.0], [0, 2]]","[107, 139]"
AA212,"[7765, 91497]","[0.001, 1.0]","['pg', 'nt']","[411, 526]","[0, 2]","[[0.001, 1.0], [0, 2]]","[107, 139]"
AA217,"[20499, 12810]","[0.02, 1.0]","['pg', 'nt']","[133, 96]","[0, 2]","[[0.02, 1.0], [0, 2]]","[32, 21]"
AA232,"[20499, 91497]","[0.02, 1.0]","['pg', 'nt']","[133, 526]","[0, 2]","[[0.02, 1.0], [0, 2]]","[32, 139]"
AA297,"[62465, 12810]","[0.01, 1.0]","['pg', 'nt']","[285, 96]","[0, 2]","[[0.01, 1.0], [0, 2]]","[74, 21]"
AA322,"[62444, 12810]","[0.001, 1.0]","['pg', 'nt']","[282, 96]","[0, 2]","[[0.001, 1.0], [0, 2]]","[73, 21]"
AA324,"[62465, 2724126]","[0.01, 0.1]","['pg', 'pg']","[285, 155]","[0, 0]","[[0.01, 0.1], [0, 0]]","[74, 38]"
AA332,"[20499, 62444]","[0.02, 0.001]","['pg', 'pg']","[133, 282]","[0, 0]","[[0.02, 0.001], [0, 0]]","[32, 73]"
AA339,"[18635, 91497]","[0.001, 1.0]","['pg', 'nt']","[126, 526]","[0, 2]","[[0.001, 1.0], [0, 2]]","[30, 139]"
AA368,"[83623, 91497]","[0.001, 1.0]","['pg', 'nt']","[493, 526]","[0, 2]","[[0.001, 1.0], [0, 2]]","[132, 139]"
AA374,"[18635, 114533]","[0.001, 0.1]","['pg', 'pg']","[126, 61]","[0, 0]","[[0.001, 0.1], [0, 0]]","[30, 11]"
AA379,"[62465, 91497]","[0.01, 1.0]","['pg', 'nt']","[285, 526]","[0, 2]","[[0.01, 1.0], [0, 2]]","[74, 139]"
AA385,"[62465, 12810]","[0.01, 1.0]","['pg', 'nt']","[285, 96]","[0, 2]","[[0.01, 1.0], [0, 2]]","[74, 21]"
AA387,"[83623, 439570]","[0.001, 0.1]","['pg', 'pg']","[493, 213]","[0, 0]","[[0.001, 0.1], [0, 0]]","[132, 50]"
AA420,"[5362720, 91497]","[0.015, 1.0]","['pg', 'nt']","[244, 526]","[0, 2]","[[0.015, 1.0], [0, 2]]","[61, 139]"
AA444,"[7765, 14286]","[0.001, 0.001]","['pg', 'pg']","[411, 100]","[0, 0]","[[0.001, 0.001], [0, 0]]","[107, 24]"
AA474,"[11552, 12810]","[0.01, 1.0]","['pg', 'nt']","[65, 96]","[0, 2]","[[0.01, 1.0], [0, 2]]","[12, 21]"
AA476,"[18635, 7921]","[0.001, 1.0]","['pg', 'nt']","[126, 441]","[0, 2]","[[0.001, 1.0], [0, 2]]","[30, 116]"
AA495,"[14286, 12810]","[0.001, 1.0]","['pg', 'nt']","[100, 96]","[0, 2]","[[0.001, 1.0], [0, 2]]","[24, 21]"
AA513,"[62444, 12810]","[0.001, 1.0]","['pg', 'nt']","[282, 96]","[0, 2]","[[0.001, 1.0], [0, 2]]","[73, 21]"
