stimulus,CID,dilution,solvent,components,solvent_onehot,cmp_ids,dilution_weakness,dilution_info
166,[16590],[0.001],['pg'],[121],[0],[28],[1.0],"[[0.001], [0], [1.0]]"
199,[7921],[1.0],['nt'],[441],[2],[116],[1.0],"[[1.0], [2], [1.0]]"
204,[7127],[0.2],['pg'],[344],[0],[89],[1.0],"[[0.2], [0], [1.0]]"
423,[2724126],[0.1],['pg'],[155],[0],[38],[1.0],"[[0.1], [0], [1.0]]"
588,[91497],[1.0],['nt'],[526],[2],[139],[1.0],"[[1.0], [2], [1.0]]"
628,[6549],[0.1],['pg'],[321],[0],[81],[0.6648344282075345],"[[0.1], [0], [0.6648344282075345]]"
715,[76322],[0.1],['pg'],[388],[0],[103],[1.0],"[[0.1], [0], [1.0]]"
788,[114533],[0.1],['pg'],[61],[0],[11],[1.0],"[[0.1], [0], [1.0]]"
909,[83623],[0.001],['pg'],[493],[0],[132],[1.0],"[[0.001], [0], [1.0]]"
937,[12813],[1.0],['nt'],[97],[2],[22],[1.0],"[[1.0], [2], [1.0]]"
992,[6989],[0.2],['pg'],[339],[0],[86],[1.0],"[[0.2], [0], [1.0]]"
A014,[5363388],[0.01],['pg'],,[0],[63],[0.1991991991991992],"[[0.01], [0], [0.1991991991991992]]"
A072,[8454],[0.1],['pg'],[502],[0],[135],[1.0],"[[0.1], [0], [1.0]]"
A095,[7991],[0.2],['pg'],,[0],[159],[1.0],"[[0.2], [0], [1.0]]"
A097,[7762],[0.1],['pg'],,[0],[106],[1.0],"[[0.1], [0], [1.0]]"
A117,[62444],[5e-05],['pg'],[283],[0],[73],[0.0],"[[5e-05], [0], [0.0]]"
A192,[32594],[0.0001],['pg'],,[0],[46],[0.0],"[[0.0001], [0], [0.0]]"
A204,[7762],[0.001],['pg'],[401],[0],[106],[0.002016129032258064],"[[0.001], [0], [0.002016129032258064]]"
A209,[11747],[0.0001],['pg'],[72],[0],[14],[0.0],"[[0.0001], [0], [0.0]]"
A240,[62378],[0.2],['pg'],,[0],[198],[1.0],"[[0.2], [0], [1.0]]"
A244,[12180],[0.003],['pg'],[76],[0],[16],[0.0],"[[0.003], [0], [0.0]]"
A245,[10430],[0.1],['pg'],[24],[0],[2],[1.0],"[[0.1], [0], [1.0]]"
A246,[6184],[0.001],['pg'],[273],[0],[70],[0.0],"[[0.001], [0], [0.0]]"
A298,[62444],[0.001],['pg'],,[0],[73],[1.0],"[[0.001], [0], [1.0]]"
A299,[61641],[1e-05],['pg'],,[0],[68],[0.0],"[[1e-05], [0], [0.0]]"
A315,[527],[0.1],['pg'],,[0],[147],[1.0],"[[0.1], [0], [1.0]]"
A316,[31260],[0.001],['pg'],[170],[0],[42],[0.0],"[[0.001], [0], [0.0]]"
A317,[10430],[0.001],['pg'],,[0],[2],[0.0],"[[0.001], [0], [0.0]]"
A351,[31265],[0.0001],['pg'],,[0],[43],[0.0],"[[0.0001], [0], [0.0]]"
A355,[7710],[0.4],['pg'],,[0],[156],[1.0],"[[0.4], [0], [1.0]]"
A398,[7945],[0.1],['pg'],[443],[0],[117],[1.0],"[[0.1], [0], [1.0]]"
A430,[7991],[0.001],['pg'],,[0],[159],[0.0],"[[0.001], [0], [0.0]]"
A442,[11747],[0.1],['pg'],,[0],[14],[1.0],"[[0.1], [0], [1.0]]"
A454,[638011],[0.005],['pg'],[305],[0],[78],[0.0],"[[0.005], [0], [0.0]]"
A468,[7945],[0.0001],['pg'],,[0],[117],[0.0],"[[0.0001], [0], [0.0]]"
A474,[62378],[0.001],['pg'],,[0],[198],[0.0],"[[0.001], [0], [0.0]]"
A483,[8130],[0.001],['pg'],,[0],[130],[0.006024096385542168],"[[0.001], [0], [0.006024096385542168]]"
A504,[638011],[1.0],['nt'],,[2],[78],[1.0],"[[1.0], [2], [1.0]]"
A521,[6561],[0.1],['pg'],,[0],[83],[1.0],"[[0.1], [0], [1.0]]"
A557,[3314],[0.005],['pg'],,[0],[48],[0.0],"[[0.005], [0], [0.0]]"
A571,[31276],[0.1],['pg'],,[0],[192],[1.0],"[[0.1], [0], [1.0]]"
A597,[7284],[0.1],['pg'],,[0],[154],[1.0],"[[0.1], [0], [1.0]]"
A671,[12180],[0.1],['pg'],,[0],[16],[0.5808383233532933],"[[0.1], [0], [0.5808383233532933]]"
A701,[61641],[0.01],['pg'],[268],[0],[68],[1.0],"[[0.01], [0], [1.0]]"
A800,[6561],[0.0005],['pg'],,[0],[83],[0.0],"[[0.0005], [0], [0.0]]"
A825,[7410],[0.1],['pg'],,[0],[100],[0.3548387096774193],"[[0.1], [0], [0.3548387096774193]]"
A829,[31265],[0.1],['pg'],,[0],[43],[1.0],"[[0.1], [0], [1.0]]"
A841,[7410],[0.001],['pg'],,[0],[100],[0.0],"[[0.001], [0], [0.0]]"
A858,[32594],[0.2],['pg'],,[0],[46],[1.0],"[[0.2], [0], [1.0]]"
A866,[8130],[0.1],['pg'],[487],[0],[130],[1.0],"[[0.1], [0], [1.0]]"
A867,[6184],[0.2],['pg'],,[0],[70],[1.0],"[[0.2], [0], [1.0]]"
A904,[8454],[0.0001],['pg'],,[0],[135],[0.0],"[[0.0001], [0], [0.0]]"
A945,[5363388],[0.001],['pg'],,[0],[63],[0.01901901901901902],"[[0.001], [0], [0.01901901901901902]]"
A949,[31276],[0.001],['pg'],,[0],[192],[0.0],"[[0.001], [0], [0.0]]"
A954,[7284],[0.0001],['pg'],,[0],[154],[0.0],"[[0.0001], [0], [0.0]]"
A956,[527],[0.005],['pg'],,[0],[147],[0.0],"[[0.005], [0], [0.0]]"
A978,[3314],[0.2],['pg'],,[0],[48],[1.0],"[[0.2], [0], [1.0]]"
A996,[31260],[0.3],['pg'],,[0],[42],[1.0],"[[0.3], [0], [1.0]]"
AA007,"[91497, 5362720]","[1.0, 0.015]","['nt', 'pg']","[526, 244]","[2, 0]","[139, 61]","[1.0, 0.3622448979591837]","[[1.0, 0.015], [2, 0], [1.0, 0.3622448979591837]]"
AA034,"[16590, 6549]","[0.001, 0.1]","['pg', 'pg']","[121, 321]","[0, 0]","[28, 81]","[1.0, 0.6648344282075345]","[[0.001, 0.1], [0, 0], [1.0, 0.6648344282075345]]"
AA085,"[2724126, 7765]","[0.1, 0.001]","['pg', 'pg']","[155, 411]","[0, 0]","[38, 107]","[1.0, 0.0015052684395383843]","[[0.1, 0.001], [0, 0], [1.0, 0.0015052684395383843]]"
AA088,"[7127, 11552]","[0.2, 0.01]","['pg', 'pg']","[344, 65]","[0, 0]","[89, 12]","[1.0, 0.09547738693467335]","[[0.2, 0.01], [0, 0], [1.0, 0.09547738693467335]]"
AA097,"[5362720, 14286]","[0.015, 0.001]","['pg', 'pg']","[244, 100]","[0, 0]","[61, 24]","[0.3622448979591837, 0.009009009009009009]","[[0.015, 0.001], [0, 0], [0.3622448979591837, 0.009009009009009009]]"
AA142,"[16590, 91497]","[0.001, 1.0]","['pg', 'nt']","[121, 526]","[0, 2]","[28, 139]","[1.0, 1.0]","[[0.001, 1.0], [0, 2], [1.0, 1.0]]"
AA160,"[6989, 62444]","[0.2, 0.001]","['pg', 'pg']","[339, 282]","[0, 0]","[86, 73]","[1.0, 1.0]","[[0.2, 0.001], [0, 0], [1.0, 1.0]]"
AA162,"[6549, 5362720]","[0.1, 0.015]","['pg', 'pg']","[321, 244]","[0, 0]","[81, 61]","[0.6648344282075345, 0.3622448979591837]","[[0.1, 0.015], [0, 0], [0.6648344282075345, 0.3622448979591837]]"
AA175,"[91497, 7765]","[1.0, 0.001]","['nt', 'pg']","[526, 411]","[2, 0]","[139, 107]","[1.0, 0.0015052684395383843]","[[1.0, 0.001], [2, 0], [1.0, 0.0015052684395383843]]"
AA212,"[91497, 7765]","[1.0, 0.001]","['nt', 'pg']","[526, 411]","[2, 0]","[139, 107]","[1.0, 0.0015052684395383843]","[[1.0, 0.001], [2, 0], [1.0, 0.0015052684395383843]]"
AA217,"[20499, 12810]","[0.02, 1.0]","['pg', 'nt']","[133, 96]","[0, 2]","[32, 21]","[0.03171953255425709, 1.0]","[[0.02, 1.0], [0, 2], [0.03171953255425709, 1.0]]"
AA232,"[91497, 20499]","[1.0, 0.02]","['nt', 'pg']","[526, 133]","[2, 0]","[139, 32]","[1.0, 0.03171953255425709]","[[1.0, 0.02], [2, 0], [1.0, 0.03171953255425709]]"
AA297,"[12810, 62465]","[1.0, 0.01]","['nt', 'pg']","[96, 285]","[2, 0]","[21, 74]","[1.0, 0.04522613065326633]","[[1.0, 0.01], [2, 0], [1.0, 0.04522613065326633]]"
AA322,"[62444, 12810]","[0.001, 1.0]","['pg', 'nt']","[282, 96]","[0, 2]","[73, 21]","[1.0, 1.0]","[[0.001, 1.0], [0, 2], [1.0, 1.0]]"
AA324,"[2724126, 62465]","[0.1, 0.01]","['pg', 'pg']","[155, 285]","[0, 0]","[38, 74]","[1.0, 0.04522613065326633]","[[0.1, 0.01], [0, 0], [1.0, 0.04522613065326633]]"
AA332,"[62444, 20499]","[0.001, 0.02]","['pg', 'pg']","[282, 133]","[0, 0]","[73, 32]","[1.0, 0.03171953255425709]","[[0.001, 0.02], [0, 0], [1.0, 0.03171953255425709]]"
AA339,"[91497, 18635]","[1.0, 0.001]","['nt', 'pg']","[526, 126]","[2, 0]","[139, 30]","[1.0, 0.09954977488744372]","[[1.0, 0.001], [2, 0], [1.0, 0.09954977488744372]]"
AA368,"[91497, 83623]","[1.0, 0.001]","['nt', 'pg']","[526, 493]","[2, 0]","[139, 132]","[1.0, 1.0]","[[1.0, 0.001], [2, 0], [1.0, 1.0]]"
AA374,"[114533, 18635]","[0.1, 0.001]","['pg', 'pg']","[61, 126]","[0, 0]","[11, 30]","[1.0, 0.09954977488744372]","[[0.1, 0.001], [0, 0], [1.0, 0.09954977488744372]]"
AA379,"[91497, 62465]","[1.0, 0.01]","['nt', 'pg']","[526, 285]","[2, 0]","[139, 74]","[1.0, 0.04522613065326633]","[[1.0, 0.01], [2, 0], [1.0, 0.04522613065326633]]"
